t,D1,D2,scale,sc_length,rapt
2.35012000000E-01,2.73531000000E-01,2.69913000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.40005000000E-01,2.63338000000E-01,2.59968000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.45001000000E-01,2.54493000000E-01,2.51265000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.50008000000E-01,2.46064000000E-01,2.42887000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.55010000000E-01,2.38569000000E-01,2.35374000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.60012000000E-01,2.31885000000E-01,2.28646000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.65007000000E-01,2.25854000000E-01,2.22559000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.70004000000E-01,2.20316000000E-01,2.16941000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.75005000000E-01,2.15111000000E-01,2.11636000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.80012000000E-01,2.10175000000E-01,2.06610000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.85007000000E-01,2.05666000000E-01,2.02016000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.90008000000E-01,2.01772000000E-01,1.98009000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.95009000000E-01,1.98486000000E-01,1.94594000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
3.00002000000E-01,1.95611000000E-01,1.91593000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
3.05002000000E-01,1.93062000000E-01,1.88901000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
3.10012000000E-01,1.90800000000E-01,1.86461000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
3.15008000000E-01,1.88783000000E-01,1.84251000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
3.20011000000E-01,1.86846000000E-01,1.82155000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
3.25007000000E-01,1.84890000000E-01,1.80101000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
-3.99979000000E-02,1.87923000000E-09,2.11409000000E-09,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
-3.49716000000E-02,2.01496000000E-02,1.83608000000E-02,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
-2.99836000000E-02,2.64845000000E-02,2.41334000000E-02,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
-2.49912000000E-02,5.15717000000E-02,4.36548000000E-02,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
-1.99940000000E-02,6.37094000000E-02,5.34512000000E-02,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
-1.49656000000E-02,7.23417000000E-02,6.11406000000E-02,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
-9.96848000000E-03,7.88827000000E-02,6.74884000000E-02,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
